konto 1 (Doris Kruth, id 4111194444, kundnr 1): 499150.0
konto 2 (mfp, id 997876, kundnr 2): 333.444
konto 3 (max, id 123567, kundnr 3): 10000.0
konto 4 (fjalar, id 456894394933, kundnr 4): 400.0
konto 5 (hej"); System.out.println("owned", id 666, kundnr 5): 9.9999999E7
konto 6 (hej2): , kundnr , id  ,,,,)));;;¤\nnyad\\"slutpånamn, id 6969, kundnr 6): 0.0
konto 7 (Kung Gustav Adolf III, id 179506189999, kundnr 7): 1.0E8
konto 8 (a, id 10001, kundnr 8): 0.0
konto 9 (b, id 10002, kundnr 9): 0.0
konto 10 (c, id 10003, kundnr 10): 0.0
konto 11 (A, id 20001, kundnr 11): 0.0
konto 12 (B, id 20002, kundnr 12): 0.0
konto 13 (C, id 20003, kundnr 13): 0.0
konto 14 (Merina Peltttoto, id 111111111, kundnr 14): 1000000.0
konto 15 (Dalia Efternamn2137, id 197910282388, kundnr 15): 212104.0
konto 16 (Justin Efternamn2540, id 197911072390, kundnr 16): 212104.0
konto 17 (Sappu Efternamn2735, id 197911239262, kundnr 17): 325010.0
konto 18 (Hannu Efternamn2736, id 197911252398, kundnr 18): 215028.0
konto 19 (Kally Efternamn2541, id 197911272388, kundnr 19): 212104.0
konto 20 (Stoz Efternamn2542, id 197912012395, kundnr 20): 215024.0
konto 21 (Emelia Efternamn1754, id 197912182388, kundnr 21): 212104.0
konto 22 (Xantippa Efternamn2678, id 197912222382, kundnr 22): 212104.0
konto 23 (Kalle Efternamn2544, id 198001182396, kundnr 23): 215028.0
konto 24 (Edvard Efternamn2181, id 198002142399, kundnr 24): 215024.0
konto 25 (Boel Efternamn1019, id 198002212382, kundnr 25): 212104.0
konto 26 (Julia Efternamn1418, id 198002272386, kundnr 26): 215024.0
konto 27 (Agnes Efternamn2175, id 198003112383, kundnr 27): 212104.0
konto 28 (Alec Efternamn1063, id 198003202390, kundnr 28): 212104.0
konto 29 (Hjalmar Efternamn1805, id 198004202399, kundnr 29): 212104.0
konto 30 (Chanel Efternamn3456, id 198005042380, kundnr 30): 215028.0
konto 31 (Bennita Efternamn1246, id 198005122380, kundnr 31): 215024.0
konto 32 (Ritva Efternamn2488, id 198005232387, kundnr 32): 212104.0
konto 33 (Janina Desiré Efternamn2137, id 198006132388, kundnr 33): 324024.0
konto 34 (Lena Efternamn1992, id 198006172384, kundnr 34): 215028.0
konto 35 (Anja Efternamn1012, id 198007122388, kundnr 35): 212104.0
konto 36 (Angelina Efternamn1574, id 198007192381, kundnr 36): 215006.0
konto 37 (Roland Efternamn2905, id 198007242392, kundnr 37): 215028.0
konto 38 (Petronella Efternamn1188, id 198105022381, kundnr 38): 215027.0
konto 39 (Reidar Efternamn2739, id 198105122397, kundnr 39): 325010.0
konto 40 (Ivan Efternamn3472, id 198105192390, kundnr 40): 325010.0
konto 41 (Joshua Efternamn3473, id 198105272390, kundnr 41): 215006.0
konto 42 (Fritiof Efternamn3299, id 198106232393, kundnr 42): 212104.0
konto 43 (Gustav Efternamn2704, id 198108152391, kundnr 43): 215028.0
konto 44 (Ruben Efternamn1624, id 198109172398, kundnr 44): 215024.0
konto 45 (Edwina Efternamn1071, id 198110072389, kundnr 45): 215024.0
konto 46 (Sofie Efternamn1815, id 198110232389, kundnr 46): 325010.0
konto 47 (Sonny Efternamn2559, id 198112112399, kundnr 47): 215028.0
konto 48 (Katja Efternamn3871, id 198201102384, kundnr 48): 212104.0
konto 49 (Håkan Efternamn3805, id 198201262394, kundnr 49): 212104.0
konto 50 (Marcela Virginia Carmencita Del Transito Efternamn3480, id 198202112382, kundnr 50): 324024.0
konto 51 (Aina Efternamn2561, id 198202162387, kundnr 51): 212104.0
konto 52 (Johan Lars Efternamn1630, id 198203242394, kundnr 52): 212104.0
konto 53 (Maria Thérése Efternamn2549, id 198011142380, kundnr 53): 325010.0
konto 54 (Terez Efternamn2908, id 198011292383, kundnr 54): 215006.0
konto 55 (Oli Efternamn1617, id 198012112390, kundnr 55): 215028.0
konto 56 (Fredrik Efternamn2700, id 198012202399, kundnr 56): 212104.0
konto 57 (Junia Vera Efternamn2340, id 198012272384, kundnr 57): 324024.0
konto 58 (Linnéa Ellinor Efternamn3048, id 198101072380, kundnr 58): 215028.0
konto 59 (Hjalmar Efternamn1068, id 198102192393, kundnr 59): 325010.0
konto 60 (Evelina Efternamn3471, id 198102242388, kundnr 60): 212104.0
konto 61 (Betty Efternamn2909, id 198103082387, kundnr 61): 212104.0
konto 62 (Kristin Efternamn3633, id 198103212380, kundnr 62): 325010.0
konto 63 (Håkan Efternamn1556, id 197705092398, kundnr 63): 215028.0
konto 64 (Desirée Efternamn3126, id 197705102387, kundnr 64): 215028.0
konto 65 (Jon Wictor Efternamn2390, id 197705182397, kundnr 65): 215028.0
konto 66 (Jenny Efternamn3705, id 197705262389, kundnr 66): 215028.0
konto 67 (Linda Efternamn2345, id 197706072381, kundnr 67): 324024.0
konto 68 (Josephine Eleonora Efternamn3307, id 197706212383, kundnr 68): 212104.0
konto 69 (Harald Efternamn3709, id 197706212391, kundnr 69): 215028.0
konto 70 (Erik Efternamn2317, id 197706262396, kundnr 70): 325010.0
konto 71 (Linda Efternamn1655, id 197707042383, kundnr 71): 215028.0
konto 72 (Rolf Efternamn1655, id 197707052390, kundnr 72): 215028.0
konto 73 (Johanna Efternamn3293, id 197707122383, kundnr 73): 324024.0
konto 74 (Bertrand Efternamn3518, id 197708052399, kundnr 74): 325010.0
konto 75 (Holly Efternamn2039, id 197708072389, kundnr 75): 212104.0
konto 76 (Göran Efternamn1207, id 197708102392, kundnr 76): 215028.0
konto 77 (Eldin Isidor Efternamn3466, id 197708162396, kundnr 77): 215016.0
konto 78 (Ossi Efternamn3706, id 197708172395, kundnr 78): 215028.0
konto 79 (Annika Efternamn3834, id 197709072388, kundnr 79): 215028.0
konto 80 (Jason Eugen Efternamn1827, id 197709092394, kundnr 80): 215028.0
konto 81 (Emma Louise Efternamn2709, id 197709112382, kundnr 81): 215024.0
konto 82 (Hacke Efternamn2392, id 197709122399, kundnr 82): 215006.0
konto 83 (Fiijkldea Efternamn1466, id 197710142386, kundnr 83): 215028.0
konto 84 (Marko Efternamn1464, id 197710212395, kundnr 84): 215028.0
konto 85 (Wenche Anni-Frid- Ranveig Efternamn3841, id 197711069307, kundnr 85): 215002.0
konto 86 (Hilda Efternamn1633, id 197711072384, kundnr 86): 212104.0
konto 87 (Esther Efternamn1469, id 197711102389, kundnr 87): 324024.0
konto 88 (Per-Olle Efternamn1369, id 197711159314, kundnr 88): 215020.0
konto 89 (Sigrid Efternamn1445, id 197711302385, kundnr 89): 215028.0
konto 90 (Anders Efternamn2465, id 197712052393, kundnr 90): 215024.0
konto 91 (Jarkko Efternamn2214, id 197712112395, kundnr 91): 215028.0
konto 92 (Pontus Johan Efternamn2226, id 197712242390, kundnr 92): 215027.0
konto 93 (Lena Efternamn1847, id 197712282388, kundnr 93): 215028.0
konto 94 (Eva Lena Efternamn1107, id 197801012381, kundnr 94): 215024.0
konto 95 (Anna Efternamn2849, id 197801092383, kundnr 95): 215028.0
konto 96 (Berit Efternamn1973, id 197801142386, kundnr 96): 215028.0
konto 97 (Lars Efternamn1955, id 197802082391, kundnr 97): 215028.0
konto 98 (Nicolina Philippa Efternamn1019, id 197802172382, kundnr 98): 215028.0
konto 99 (Eva Efternamn1109, id 197802182381, kundnr 99): 212104.0
konto 100 (Ulrik Efternamn1765, id 197804122393, kundnr 100): 215028.0
konto 101 (Hanin Efternamn2505, id 197804212384, kundnr 101): 212104.0
konto 102 (Henning Efternamn1286, id 197804232390, kundnr 102): 215028.0
konto 103 (Rufus Efternamn1984, id 197804302391, kundnr 103): 215028.0
konto 104 (Åke Efternamn2370, id 197805152399, kundnr 104): 212104.0
konto 105 (Berth Efternamn3862, id 197805182396, kundnr 105): 215028.0
konto 106 (Herman Efternamn2334, id 197805282394, kundnr 106): 215028.0
konto 107 (Lars-Laban Efternamn2044, id 197806162397, kundnr 107): 325010.0
konto 108 (Simon Thor Efternamn2155, id 197807012393, kundnr 108): 325010.0
konto 109 (Janet Efternamn3726, id 197807032383, kundnr 109): 212104.0
konto 110 (Gabriella Efternamn2709, id 197807082388, kundnr 110): 212104.0
konto 111 (Lisa Efternamn1084, id 197807152389, kundnr 111): 215028.0
konto 112 (Carina Veronica Efternamn1085, id 197807302380, kundnr 112): 212104.0
konto 113 (Sonja Efternamn2767, id 197808132380, kundnr 113): 212104.0
konto 114 (Marianne Efternamn3118, id 197808142389, kundnr 114): 324024.0
konto 115 (Alvin Efternamn3504, id 197808242395, kundnr 115): 215028.0
konto 116 (Flora Efternamn1039, id 197808282383, kundnr 116): 215028.0
konto 117 (Sander Efternamn2866, id 197809192391, kundnr 117): 212104.0
konto 118 (Brandon Efternamn1837, id 197809272391, kundnr 118): 215028.0
konto 119 (Roffe Efternamn3251, id 197810282397, kundnr 119): 215024.0
konto 120 (Diana Ottilia Efternamn2933, id 197812042385, kundnr 120): 215028.0
konto 121 (Herman Efternamn1963, id 197812042393, kundnr 121): 215028.0
konto 122 (Bertil Efternamn2318, id 197812292394, kundnr 122): 215028.0
konto 123 (Carolin Efternamn2004, id 197901312384, kundnr 123): 215028.0
konto 124 (Marie Efternamn3885, id 197902072383, kundnr 124): 215028.0
konto 125 (Josef Efternamn2207, id 197903012396, kundnr 125): 215024.0
konto 126 (Lauri Efternamn2759, id 197903042393, kundnr 126): 324024.0
konto 127 (Ylva Efternamn3309, id 197903062383, kundnr 127): 324024.0
konto 128 (Carmen Efternamn1045, id 197903102387, kundnr 128): 215028.0
konto 129 (Sofia Efternamn3249, id 197903212384, kundnr 129): 212104.0
konto 130 (Jonah Efternamn3839, id 197903292394, kundnr 130): 212104.0
konto 131 (Ulla Efternamn3493, id 197904032385, kundnr 131): 212104.0
konto 132 (Britt-Marie Efternamn2016, id 197904122384, kundnr 132): 215028.0
konto 133 (Åke Efternamn3407, id 197904202392, kundnr 133): 212104.0
konto 134 (Pauli Efternamn3311, id 197905042391, kundnr 134): 215024.0
konto 135 (Mats Efternamn2354, id 197905102393, kundnr 135): 215006.0
konto 136 (Lennart Efternamn1955, id 197906262394, kundnr 136): 325010.0
konto 137 (Åke Efternamn2175, id 197907132398, kundnr 137): 215024.0
konto 138 (Fabian Efternamn1407, id 197908022390, kundnr 138): 212104.0
konto 139 (Steven Efternamn2891, id 197908182392, kundnr 139): 215028.0
konto 140 (Johanna Efternamn3271, id 197908192383, kundnr 140): 215028.0
konto 141 (Sirpa-Liisa Efternamn1602, id 197908222388, kundnr 141): 215028.0
konto 142 (Linda Efternamn1981, id 197909022381, kundnr 142): 215024.0
konto 143 (Samira Efternamn3274, id 197909089265, kundnr 143): 324023.0
konto 144 (Irma Efternamn1982, id 197909112380, kundnr 144): 215028.0
konto 145 (Olle Efternamn2729, id 197909222395, kundnr 145): 215028.0
konto 146 (Carl Magnus Efternamn2704, id 197910072391, kundnr 146): 215028.0
konto 147 (Johan Efternamn3124, id 197702032397, kundnr 147): 215006.0
